Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Roger\Heterofiber_project\revision\nemaline_myopathy_bulk\X1768\raw\20240522_TIMS6_EVO4_PRI_DIA_30SPD_X1768_P0008_R1296_control_1_S2-A1_1_9734.d	D:\Roger\Heterofiber_project\revision\nemaline_myopathy_bulk\X1768\raw\20240522_TIMS6_EVO4_PRI_DIA_30SPD_X1768_P0008_R1296_control_2_S2-A2_1_9735.d	D:\Roger\Heterofiber_project\revision\nemaline_myopathy_bulk\X1768\raw\20240522_TIMS6_EVO4_PRI_DIA_30SPD_X1768_P0008_R1296_control_3_S2-A3_1_9736.d	D:\Roger\Heterofiber_project\revision\nemaline_myopathy_bulk\X1768\raw\20240522_TIMS6_EVO4_PRI_DIA_30SPD_X1768_P0008_R1296_troponin_1_S2-A4_1_9737.d	D:\Roger\Heterofiber_project\revision\nemaline_myopathy_bulk\X1768\raw\20240522_TIMS6_EVO4_PRI_DIA_30SPD_X1768_P0008_R1296_troponin_2_S2-A5_1_9738.d	D:\Roger\Heterofiber_project\revision\nemaline_myopathy_bulk\X1768\raw\20240522_TIMS6_EVO4_PRI_DIA_30SPD_X1768_P0008_R1296_troponin_3_S2-A6_1_9739.d
P08572	P08572	CO4A2_HUMAN	COL4A2	Collagen alpha-2(IV) chain	1090.48	1551.92	993.243	3036.36	1224.24	2637.67
P08574	P08574	CY1_HUMAN	CYC1	Cytochrome c1, heme protein, mitochondrial	81345.5	133534	102668	24750.6	79594.5	30121.3
P08590	P08590	MYL3_HUMAN	MYL3	Myosin light chain 3	2.01709e+06	1.19011e+06	1.42336e+06	214547	315281	467716
P08603	P08603	CFAH_HUMAN	CFH	Complement factor H	9256.2	2897.62	5884.62	5080.65	10050	11892.1
P08651	P08651	NFIC_HUMAN	NFIC	Nuclear factor 1 C-type	649.974	1250.3	677.994		1348.39	
P08670	P08670	VIME_HUMAN	VIM	Vimentin	30595.2	35077	26245.3	86889.1	190451	221876
P08697	P08697	A2AP_HUMAN	SERPINF2	Alpha-2-antiplasmin	3586.8	1964.34	3845.38	2546.25	4741.57	2646
P08708	P08708	RS17_HUMAN	RPS17	40S ribosomal protein S17	4276.68	6010.25	6841.5	5350.63	7307.44	6932.68
P08758	P08758	ANXA5_HUMAN	ANXA5	Annexin A5	19631	29883.2	21066.1	72721	66542.3	68008.9
P08865	P08865	RSSA_HUMAN	RPSA	40S ribosomal protein SA	3343.8	3282.29	3372.51	8224.52	6183.67	6802.96
P09104	P09104	ENOG_HUMAN	ENO2	Gamma-enolase	149816	271580	262854	94892.9	142959	81142.9
P09211	P09211	GSTP1_HUMAN	GSTP1	Glutathione S-transferase P	10565.6	13861.4	11945.9	14943.4	19559.8	17997.3
P09382	P09382	LEG1_HUMAN	LGALS1	Galectin-1	89973.9	114397	101179	93877.4	111488	228273
P09417	P09417	DHPR_HUMAN	QDPR	Dihydropteridine reductase	4446.75	6712.22	6765.62	9234.53	6488.79	4733.67
P09429	P09429	HMGB1_HUMAN	HMGB1	High mobility group protein B1	19591.2	21383.1	14842.6	21378.7	32038.7	46942.7
P09486	P09486	SPRC_HUMAN	SPARC	SPARC			1806.11		5746.09	9093.56
P09488	P09488	GSTM1_HUMAN	GSTM1	Glutathione S-transferase Mu 1	20253.2	5088.1	13335.7	20056.1	16522.3	15018.7
P09493	P09493	TPM1_HUMAN	TPM1	Tropomyosin alpha-1 chain	908789	1.60349e+06	1.21935e+06	1.60923e+06	1.47515e+06	856979
P09497	P09497	CLCB_HUMAN	CLTB	Clathrin light chain B	1314.62	1804.7	688.412	1558.58	2395.82	1345.96
P09622	P09622	DLDH_HUMAN	DLD	Dihydrolipoyl dehydrogenase, mitochondrial	104119	83323.1	111915	38968	72959.3	28737.8
P09651	P09651	ROA1_HUMAN	HNRNPA1	Heterogeneous nuclear ribonucleoprotein A1	5149.13	4170.79	4282.99	7153.56	11477.1	13620.5
P09668	P09668	CATH_HUMAN	CTSH	Pro-cathepsin H	394.96					
P09669	P09669	COX6C_HUMAN	COX6C	Cytochrome c oxidase subunit 6C	51527.6	51900.4	52966.8	18355.6	36917.6	15016.5
P09874	P09874	PARP1_HUMAN	PARP1	Poly [ADP-ribose] polymerase 1	1701.51	2566.55	2956.68		3647.47	4907.85
P09936	P09936	UCHL1_HUMAN	UCHL1	Ubiquitin carboxyl-terminal hydrolase isozyme L1	3530.24	11173.3	4820.5	5152.06	20812.9	18077.6
P09960	P09960	LKHA4_HUMAN	LTA4H	Leukotriene A-4 hydrolase	7545.58	10809.8	10782.9	4054.4	8984.41	6559.47
P09972	P09972	ALDOC_HUMAN	ALDOC	Fructose-bisphosphate aldolase C	2343.24	4713.21	3111.88	4891.69	3983.94	1782.16
P0C0L4	P0C0L4	CO4A_HUMAN	C4A	Complement C4-A	6487.48	2654.27	6116.79	8580.17	2606.8	7698.6
P0C0S5	P0C0S5	H2AZ_HUMAN	H2AZ1	Histone H2A.Z	35645	34048.2	27194.7	11491.1	63440.1	57464.2
P0CG29	P0CG29	GST2_HUMAN	GSTT2	Glutathione S-transferase theta-2			389.147			
P0CK96	P0CK96	S352B_HUMAN	SLC35E2B	Solute carrier family 35 member E2B			8876.19	35348.8	4925.92	15563.2
P0DMM9	P0DMM9	ST1A3_HUMAN	SULT1A3	Sulfotransferase 1A3	646.14	640.248	402.382	705.298	2591.83	1297.5
P0DMV8	P0DMV8	HS71A_HUMAN	HSPA1A	Heat shock 70 kDa protein 1A	133469	131350	141802	143402	141119	136429
P0DOY2	P0DOY2	IGLC2_HUMAN	IGLC2	Immunoglobulin lambda constant 2	11112	6883.01	8112.47	9530.57	10847.9	18596.6
P0DP23	P0DP23	CALM1_HUMAN	CALM1	Calmodulin-1	22337.4	33217.1	27224.9	33600.2	22053.4	27805.9
P0DPH7	P0DPH7	TBA3C_HUMAN	TUBA3C	Tubulin alpha-3C chain	442.903			1623.65	6003.09	6658.52
P10253	P10253	LYAG_HUMAN	GAA	Lysosomal alpha-glucosidase	1778.82	2062.76	929.964		942.5	2580.91
P10301	P10301	RRAS_HUMAN	RRAS	Ras-related protein R-Ras	1911.95	1547.18	734.974	4765.67	3299.92	6661.19
P10515	P10515	ODP2_HUMAN	DLAT	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	22640	24657.4	24404.8	15301	20310.7	8240.94
P10599	P10599	THIO_HUMAN	TXN	Thioredoxin	29857.9	36859.2	37050.1	40241.9	36727.4	36987.6
P10606	P10606	COX5B_HUMAN	COX5B	Cytochrome c oxidase subunit 5B, mitochondrial	82522.3	91235.2	75364.5	27230.8	43033.5	14466.6
P10636	P10636	TAU_HUMAN	MAPT	Microtubule-associated protein tau	6137.38	6092.84	9044.71	8160	6432.53	4159.72
P10644	P10644	KAP0_HUMAN	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit	19708.8	24766.9	18078.4	24233	20966.4	22670.4
P10768	P10768	ESTD_HUMAN	ESD	S-formylglutathione hydrolase	38314.7	39859.9	57314.9	29452.8	29368.9	21703.6
P10809	P10809	CH60_HUMAN	HSPD1	60 kDa heat shock protein, mitochondrial	22233.7	20649.4	22429.9	20726.6	25602.5	13716.9
P10909	P10909	CLUS_HUMAN	CLU	Clusterin	3002.7	2269.83	2435.44	5833.41	3757.78	6674.65
P10916	P10916	MLRV_HUMAN	MYL2	Myosin regulatory light chain 2, ventricular/cardiac muscle isoform	1.41064e+06	982069	1.05849e+06	760424	610054	887211
P11021	P11021	BIP_HUMAN	HSPA5	Endoplasmic reticulum chaperone BiP	12627.8	16019.8	11766.8	14867.8	15619.2	23676.1
P11047	P11047	LAMC1_HUMAN	LAMC1	Laminin subunit gamma-1	4229.51	4830.4	4583.43	16633.7	8230.48	8683.86
P11055	P11055	MYH3_HUMAN	MYH3	Myosin-3	29709.1	25570.3	67389.5	184486	12040.3	3387.97
P11142	P11142	HSP7C_HUMAN	HSPA8	Heat shock cognate 71 kDa protein	165505	162127	157946	98722.9	162414	148273
P11166	P11166	GTR1_HUMAN	SLC2A1	Solute carrier family 2, facilitated glucose transporter member 1	3327.84	2040.25	3513.3	7593.86	1793.12	9302.93
P11171	P11171	EPB41_HUMAN	EPB41	Protein 4.1	1822.85		1267.22	2156.42	1425.22	5337.53
P11177	P11177	ODPB_HUMAN	PDHB	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	21269	24294	22657.4	17994.2	19890.7	10906.2
P11182	P11182	ODB2_HUMAN	DBT	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial	2528.2	2597.69	2220.18		3316.45	2334.26
P11216	P11216	PYGB_HUMAN	PYGB	Glycogen phosphorylase, brain form	92165.2	72978.1	38906	91971.8	31796.8	35155.3
P11217	P11217	PYGM_HUMAN	PYGM	Glycogen phosphorylase, muscle form	498839	787619	540149	575416	431375	296749
P11233	P11233	RALA_HUMAN	RALA	Ras-related protein Ral-A	3848.95	4025.13	3145.58	3384.81	4296.69	5844.68
P11277	P11277	SPTB1_HUMAN	SPTB	Spectrin beta chain, erythrocytic	11105.2	8757.35	10471.8	21990.8	15203.5	29899.7
P11310	P11310	ACADM_HUMAN	ACADM	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	21324.9	23367	25175.5	19262.4	30685.2	16337.4
P11532	P11532	DMD_HUMAN	DMD	Dystrophin	8696.3	9090.48	7683.44	16207.3	11744.6	14583.8
P11586	P11586	C1TC_HUMAN	MTHFD1	C-1-tetrahydrofolate synthase, cytoplasmic	3918.46	4899.7	3582.66	6010.94	5088.17	4640.67
P11766	P11766	ADHX_HUMAN	ADH5	Alcohol dehydrogenase class-3	8608.28	9662.93	8948.91	12944.8	10955.2	11228.1
P12081	P12081	HARS1_HUMAN	HARS1	Histidine--tRNA ligase, cytoplasmic	1867.33	3261.04	2372.72	2080.67	2133.45	3618.66
P12109	P12109	CO6A1_HUMAN	COL6A1	Collagen alpha-1(VI) chain	14237.3	16982.2	19199.3	105107	110759	85337.4
P12110	P12110	CO6A2_HUMAN	COL6A2	Collagen alpha-2(VI) chain	13866.4	16702.7	14446	186390	123043	103375
P12111	P12111	CO6A3_HUMAN	COL6A3	Collagen alpha-3(VI) chain	12320.8	15963.5	12902	121340	86825.4	77859.8
P12235	P12235	ADT1_HUMAN	SLC25A4	ADP/ATP translocase 1	400420	498938	427279	216875	292002	139121
P12236	P12236	ADT3_HUMAN	SLC25A6	ADP/ATP translocase 3	3550.85	6611.82	4785.02	6882.12	9720.61	10610.2
P12268	P12268	IMDH2_HUMAN	IMPDH2	Inosine-5'-monophosphate dehydrogenase 2	3628.75	5330.58	4542.79	3872.66	5047.38	6650.35
P12270	P12270	TPR_HUMAN	TPR	Nucleoprotein TPR	541.151		809.49	1579.02	1195.94	
P12277	P12277	KCRB_HUMAN	CKB	Creatine kinase B-type	31846.8	16107.1	27086	13631.9	25348.5	29561.1
P12429	P12429	ANXA3_HUMAN	ANXA3	Annexin A3	3074.87	2913.86	2058.26	6755.53	1425.6	2209.35
P12694	P12694	ODBA_HUMAN	BCKDHA	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial		590.942	346.976			
P12814	P12814	ACTN1_HUMAN	ACTN1	Alpha-actinin-1	33859.6	39929.9	30490.2	48137.4	49045.1	82093.3
P12829	P12829	MYL4_HUMAN	MYL4	Myosin light chain 4	4352.55	3719.04	4111.98	4173.96	5499.2	2858.15
P12882	P12882	MYH1_HUMAN	MYH1	Myosin-1	93388.7	84368.4	193774	171515	25828.6	23050
P12883	P12883	MYH7_HUMAN	MYH7	Myosin-7	2.57642e+06	1.70819e+06	2.24265e+06	888647	770225	1.22152e+06
P12955	P12955	PEPD_HUMAN	PEPD	Xaa-Pro dipeptidase	1594.14	3408.99	2509.42	1847.1	1942.48	3833.35
P12956	P12956	XRCC6_HUMAN	XRCC6	X-ray repair cross-complementing protein 6	3456.42	4272.17	4045.85	7673.63	6497.94	10404.6
P13010	P13010	XRCC5_HUMAN	XRCC5	X-ray repair cross-complementing protein 5	1906.43	2424.67	2322.84	4398.98	4525.64	3321.84
P13073	P13073	COX41_HUMAN	COX4I1	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	179406	160744	161216	76667.3	120819	54233.4
P13473	P13473	LAMP2_HUMAN	LAMP2	Lysosome-associated membrane glycoprotein 2	1291.61	1209.13	1474.97	1850.53	1808.5	2283.71
P13489	P13489	RINI_HUMAN	RNH1	Ribonuclease inhibitor	6376.03	9023.56	6629.75	14733.7	12857.4	12861.1
P13533	P13533	MYH6_HUMAN	MYH6	Myosin-6	1.01772e+06	600802	747017	160741	222853	340024
P13535	P13535	MYH8_HUMAN	MYH8	Myosin-8	15552.8	68082.9	33486.5	43677.6	77843.4	27812
P13611	P13611	CSPG2_HUMAN	VCAN	Versican core protein		616.512	605.732	1545.99	4785.76	3955.86
P13639	P13639	EF2_HUMAN	EEF2	Elongation factor 2	14758.9	17364	15968.5	14935	14554.8	16126.7
P13645	P13645	K1C10_HUMAN	KRT10	Keratin, type I cytoskeletal 10	3009.06			1793.63		668.227
P13693	P13693	TCTP_HUMAN	TPT1	Translationally-controlled tumor protein	38090.9	36989.6	39748.6	19198.1	26047.5	21865.1
P13716	P13716	HEM2_HUMAN	ALAD	Delta-aminolevulinic acid dehydratase	4196.24	4744.53	3391.52		2923.99	7288.28
P13797	P13797	PLST_HUMAN	PLS3	Plastin-3	3802.6	3761.16	3309.47	4756.5	8232.84	9894.6
P13798	P13798	ACPH_HUMAN	APEH	Acylamino-acid-releasing enzyme	5392.85	5489.92	5906.47	5375.44	4614.81	4207.85
P13804	P13804	ETFA_HUMAN	ETFA	Electron transfer flavoprotein subunit alpha, mitochondrial	29713.7	21745.5	16692.6	12189.5	16439	15764.4
P13805	P13805	TNNT1_HUMAN	TNNT1	Troponin T, slow skeletal muscle	1.16255e+06	736007	975388	77296.6	8993.5	8604.6
P13807	P13807	GYS1_HUMAN	GYS1	Glycogen [starch] synthase, muscle	23125.3	29658.1	28224.8	19975.3	18497.8	11361.7
P13861	P13861	KAP2_HUMAN	PRKAR2A	cAMP-dependent protein kinase type II-alpha regulatory subunit	13942	12360	13752.9	13387.5	12017.3	12830.5
P13929	P13929	ENOB_HUMAN	ENO3	Beta-enolase	316752	616551	563019	580047	463833	321789
P13987	P13987	CD59_HUMAN	CD59	CD59 glycoprotein	17322.7	26314.9	22966.3	26060.4	28326.4	30510.2
P14174	P14174	MIF_HUMAN	MIF	Macrophage migration inhibitory factor	6236.65	11586.4	6920.56	4318.55	16922.5	16783.4
P14209	P14209	CD99_HUMAN	CD99	CD99 antigen	773.887	1546.92	1384.72	687.441	1120.85	2180.91
P14314	P14314	GLU2B_HUMAN	PRKCSH	Glucosidase 2 subunit beta	5346.64	7236.91	6084.56	7013.37	11574.3	12522.8
P14324	P14324	FPPS_HUMAN	FDPS	Farnesyl pyrophosphate synthase	3816.02	5590.44	3093.99		4660.52	
P14406	P14406	CX7A2_HUMAN	COX7A2	Cytochrome c oxidase subunit 7A2, mitochondrial	3060.93	2585.35	4849.37	3714.88	6017.57	3835
P14543	P14543	NID1_HUMAN	NID1	Nidogen-1	5563.5	8294.99	4367.58	26991.6	15494.9	22602.8
P14550	P14550	AK1A1_HUMAN	AKR1A1	Aldo-keto reductase family 1 member A1	2695.51	2723.4	1861.33	3587.05	2756.14	2531.45
P14618	P14618	KPYM_HUMAN	PKM	Pyruvate kinase PKM	225070	409392	325431	206479	233194	139404
P14621	P14621	ACYP2_HUMAN	ACYP2	Acylphosphatase-2	15031.2	17710.8	19283.5	7150.13	17749.4	10949.2
P14625	P14625	ENPL_HUMAN	HSP90B1	Endoplasmin	4269.98	4615.46	4130.85	11818.7	10140.5	19743
P14649	P14649	MYL6B_HUMAN	MYL6B	Myosin light chain 6B	184346	117031	141159	32975.5	51088.8	171208
P14672	P14672	GLUT4_HUMAN	SLC2A4	Solute carrier family 2, facilitated glucose transporter member 4	1953.04	2809.42	2906.06	1861.39	2496.35	2818.58
P14678	P14678	RSMB_HUMAN	SNRPB	Small nuclear ribonucleoprotein-associated proteins B and B'	1050.8	1061.07	850.571	2538.28	2093.56	2999.18
P14854	P14854	CX6B1_HUMAN	COX6B1	Cytochrome c oxidase subunit 6B1	60772.1	91728.1	89760.3	14929.7	50002.5	14442
P14866	P14866	HNRPL_HUMAN	HNRNPL	Heterogeneous nuclear ribonucleoprotein L	2290.08	2270.08	1539.26	2699.78	3567.7	5258.02
P14868	P14868	SYDC_HUMAN	DARS1	Aspartate--tRNA ligase, cytoplasmic	2538.05	2983.88	2694.12	4085.18	2814.87	4356.15
P14927	P14927	QCR7_HUMAN	UQCRB	Cytochrome b-c1 complex subunit 7	43447.9	45013.4	48691	28942.8	27737.4	15462.1
P15088	P15088	CBPA3_HUMAN	CPA3	Mast cell carboxypeptidase A	9704.56	8613	10421.2	2246.42	7423.31	6189.76
P15090	P15090	FABP4_HUMAN	FABP4	Fatty acid-binding protein, adipocyte	12863.3	7791.91	5537.5	51412.7	50022.7	108131
P15104	P15104	GLNA_HUMAN	GLUL	Glutamine synthetase	1830.99	1521.5	1653.86	3201.25	2100.05	2379.67
P15121	P15121	ALDR_HUMAN	AKR1B1	Aldo-keto reductase family 1 member B1	35700.3	48307.4	58578.7	29048.4	27489.4	19650.5
P15170	P15170	ERF3A_HUMAN	GSPT1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	3205.89	3574.66	3589.46	2071.3	3245.93	2625.81
P15259	P15259	PGAM2_HUMAN	PGAM2	Phosphoglycerate mutase 2	257971	379061	433063	135807	311910	188205
P15374	P15374	UCHL3_HUMAN	UCHL3	Ubiquitin carboxyl-terminal hydrolase isozyme L3	3934.14	4256.54	3403.05	4413.32	3363.36	4640.25
P15531	P15531	NDKA_HUMAN	NME1	Nucleoside diphosphate kinase A	2392.12	2900.16	2547.82		5722.7	6151.99
P15880	P15880	RS2_HUMAN	RPS2	40S ribosomal protein S2	5106.21	3737.35	2838.94	4572.24	5563.78	4790.32
P15954	P15954	COX7C_HUMAN	COX7C	Cytochrome c oxidase subunit 7C, mitochondrial	13027.3	14103.5	10486.8	11250.6	13098.6	2737.9
P16070	P16070	CD44_HUMAN	CD44	CD44 antigen	2989	3377.04	2580.04		8512.01	12529.6
P16083	P16083	NQO2_HUMAN	NQO2	Ribosyldihydronicotinamide dehydrogenase [quinone]	6070.92	3383.14	5289.96	3928.32	3547.77	2469.66
P16118	P16118	F261_HUMAN	PFKFB1	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1		1696.67	1834.14			
P16152	P16152	CBR1_HUMAN	CBR1	Carbonyl reductase [NADPH] 1	30478.1	30855.5	40435.5	37185.7	105161	52038.1
P16157	P16157	ANK1_HUMAN	ANK1	Ankyrin-1	16056.3	6650.82	18020.2	10627.7	9217.75	25224.9
P16219	P16219	ACADS_HUMAN	ACADS	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	58021.1	30624.1	38300.7	23231.9	30203.5	16449.4
P16298	P16298	PP2BB_HUMAN	PPP3CB	Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform	3102.46	4484.98	3143.26	7396.23	3834.57	5896.37
P16403	P16403	H12_HUMAN	H1-2	Histone H1.2	5093.81	7016.03	4753.53	16587.6	22966.4	25493
P16452	P16452	EPB42_HUMAN	EPB42	Protein 4.2	2523.54	1380.32	2639.51	2497.24	1745.18	5463.68
P16615	P16615	AT2A2_HUMAN	ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	98255.8	57671.9	97892.8	49743.4	56218.5	65849.9
P16671	P16671	CD36_HUMAN	CD36	Platelet glycoprotein 4	4624.4	4777.66	3314.17	12959.5	14211.6	14535.4
P16930	P16930	FAAA_HUMAN	FAH	Fumarylacetoacetase	5128.69	6335.3	4639.75	2442.56	3352.12	5512.8
P16989	P16989	YBOX3_HUMAN	YBX3	Y-box-binding protein 3	23367.5	25794.9	25916.4	15289.6	24366.5	26579.8
P17152	P17152	TMM11_HUMAN	TMEM11	Transmembrane protein 11, mitochondrial	3091.26	3563.28	6526.01	1521.73	2223.68	
P17174	P17174	AATC_HUMAN	GOT1	Aspartate aminotransferase, cytoplasmic	185594	191247	173183	78520.1	95119.2	52036.2
P17540	P17540	KCRS_HUMAN	CKMT2	Creatine kinase S-type, mitochondrial	286907	347250	256828	32658.1	96806.2	32704.3
P17568	P17568	NDUB7_HUMAN	NDUFB7	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7	4506.15	6553.06	6205.19		3373.46	1771.85
P17612	P17612	KAPCA_HUMAN	PRKACA	cAMP-dependent protein kinase catalytic subunit alpha	15252.7	18048.8	17406.3	21289	19557.7	17543.8
P17655	P17655	CAN2_HUMAN	CAPN2	Calpain-2 catalytic subunit	7719.1	11337.9	9108.5	6749.4	12820.9	15771.5
P17661	P17661	DESM_HUMAN	DES	Desmin	109741	134460	145740	126928	133155	156814
P17844	P17844	DDX5_HUMAN	DDX5	Probable ATP-dependent RNA helicase DDX5			590.484		1207	
P17858	P17858	PFKAL_HUMAN	PFKL	ATP-dependent 6-phosphofructokinase, liver type	28610	62143.9	35664.2	35042.3	34164.1	21528.9
P17931	P17931	LEG3_HUMAN	LGALS3	Galectin-3	4224.96	5707.63	4140.82	3195.38	14551.2	19665.2
P17980	P17980	PRS6A_HUMAN	PSMC3	26S proteasome regulatory subunit 6A	6666.82	9216.85	7143.94	7571.87	8798.22	9841.59
P17987	P17987	TCPA_HUMAN	TCP1	T-complex protein 1 subunit alpha	120450	99789.5	98949.2	87359.6	127286	167189
P18077	P18077	RL35A_HUMAN	RPL35A	60S ribosomal protein L35a				716.78		787.416
P18124	P18124	RL7_HUMAN	RPL7	60S ribosomal protein L7	2488.21	1647.81	2294.82		4419.53	5327.65
P18206	P18206	VINC_HUMAN	VCL	Vinculin	18100.4	17452.3	14741.8	17810.9	17524.6	19018.4
P18621	P18621	RL17_HUMAN	RPL17	60S ribosomal protein L17	3569.57	3810.78	5084.37		6829.23	6212.68
P18669	P18669	PGAM1_HUMAN	PGAM1	Phosphoglycerate mutase 1	5592.99	7153.1	5756.2	7213.18	11571	14000.5
P18754	P18754	RCC1_HUMAN	RCC1	Regulator of chromosome condensation	578.619	391.643	429.048		794029	890762
P18859	P18859	ATP5J_HUMAN	ATP5PF	ATP synthase-coupling factor 6, mitochondrial	60413.7	58532.8	54013	13550.9	27003.1	14674.3
P19237	P19237	TNNI1_HUMAN	TNNI1	Troponin I, slow skeletal muscle	775179	497644	584140	21182.6	92296.6	154139
P19338	P19338	NUCL_HUMAN	NCL	Nucleolin	7877.25	7960.49	4822.82	14079.1	10626.1	14188.8
P19367	P19367	HXK1_HUMAN	HK1	Hexokinase-1	4902.1	5566.37	5770.61	6954.71	3916.49	3250.27
P19404	P19404	NDUV2_HUMAN	NDUFV2	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	9895.92	9655.73	7098.16	4254.09	5843.94	2221.11
P19652	P19652	A1AG2_HUMAN	ORM2	Alpha-1-acid glycoprotein 2	27653.8	13591.3	24801.6	27407.4	38566.8	32944.4
P19823	P19823	ITIH2_HUMAN	ITIH2	Inter-alpha-trypsin inhibitor heavy chain H2	3604.73	1544.61	3075.54	4360.17	3260.61	10623.1
P19827	P19827	ITIH1_HUMAN	ITIH1	Inter-alpha-trypsin inhibitor heavy chain H1	4869.03	2145.88	2267.29	4995.03	2626.11	7856.28
P20036	P20036	DPA1_HUMAN	HLA-DPA1	HLA class II histocompatibility antigen, DP alpha 1 chain			573.674		1401.2	
P20042	P20042	IF2B_HUMAN	EIF2S2	Eukaryotic translation initiation factor 2 subunit 2	585.057	540.647	484.971	1372.22		927.69
P20073	P20073	ANXA7_HUMAN	ANXA7	Annexin A7	9039.65	8207.46	6577.82	8535.05	8526.9	8166.95
P20231	P20231	TRYB2_HUMAN	TPSB2	Tryptase beta-2	10434	19126.5	11609.5	9384.08	29469.5	23559.2
P20290	P20290	BTF3_HUMAN	BTF3	Transcription factor BTF3	2734.59	4303.54	3309.17		3786.08	5639.82
P20472	P20472	PRVA_HUMAN	PVALB	Parvalbumin alpha	5508.6	12094.2	4793.73	146954	30658.9	21600.4
P20618	P20618	PSB1_HUMAN	PSMB1	Proteasome subunit beta type-1	5950.35	7664.53	8984.2	9705.63	13186.5	10917.4
P20674	P20674	COX5A_HUMAN	COX5A	Cytochrome c oxidase subunit 5A, mitochondrial	48993.6	44758.8	74881.3	13323.5	23341.9	7394.96
P20700	P20700	LMNB1_HUMAN	LMNB1	Lamin-B1	1230.09	2046.89	1708.72	7324.14	8772.85	13519.1
P20774	P20774	MIME_HUMAN	OGN	Mimecan	3341.96	3801.35	5666.98	99172.6	121518	58174.6
P20807	P20807	CAN3_HUMAN	CAPN3	Calpain-3	12420.2	12973.4	11945.3	18888.7	15003.6	13648.6
P20810	P20810	ICAL_HUMAN	CAST	Calpastatin	2977.41	4077.74	3768.79		1986.61	2220.87
P20929	P20929	NEBU_HUMAN	NEB	Nebulin	185721	140894	183698	143472	160686	115832
P21266	P21266	GSTM3_HUMAN	GSTM3	Glutathione S-transferase Mu 3	11233.3	10085.4	14770.5	7118.79	11755.2	5386.73
P21281	P21281	VATB2_HUMAN	ATP6V1B2	V-type proton ATPase subunit B, brain isoform	458.696	776.807	514.305	1914.56	1004.17	1424.21
P21291	P21291	CSRP1_HUMAN	CSRP1	Cysteine and glycine-rich protein 1	4292.72	3151.44	1997.84		14959.3	6941.45
P21333	P21333	FLNA_HUMAN	FLNA	Filamin-A	7818.86	7208.14	5190.35	13633.9	23012.6	20190.1
P21397	P21397	AOFA_HUMAN	MAOA	Amine oxidase [flavin-containing] A		10800.2	3792.51	10807	3203.82	8549.74
P21399	P21399	ACOHC_HUMAN	ACO1	Cytoplasmic aconitate hydratase	6485.98	9058.11	8530.93	3898.06	7083.38	5174.78
P21695	P21695	GPDA_HUMAN	GPD1	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	62191.3	88266.7	80430.8	69936.2	45975.7	48933.9
P21796	P21796	VDAC1_HUMAN	VDAC1	Voltage-dependent anion-selective channel protein 1	62645.9	59795	71526.2	49044.6	46780.6	28613.1
P21810	P21810	PGS1_HUMAN	BGN	Biglycan	3148.65	2612.17	2732.23	34740.8	105422	69991
P21817	P21817	RYR1_HUMAN	RYR1	Ryanodine receptor 1	11825.4	13877.2	13649.6	16615.6	11882.7	10596.3
P21912	P21912	SDHB_HUMAN	SDHB	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	32261.9	36074.6	31813.6	10059.5	19767.4	10945.9
P21926	P21926	CD9_HUMAN	CD9	CD9 antigen	3391.24	2903.36	3262.4			879.737
P21964	P21964	COMT_HUMAN	COMT	Catechol O-methyltransferase	3129.95	5660.86	2762.94		9765.18	4156.42
P21980	P21980	TGM2_HUMAN	TGM2	Protein-glutamine gamma-glutamyltransferase 2	1695.77	889.08	2059.94	1546.65	1415.49	1909.14
P22033	P22033	MUTA_HUMAN	MMUT	Methylmalonyl-CoA mutase, mitochondrial	1793.85	2488.42	1884.72			733.817
P22059	P22059	OSBP1_HUMAN	OSBP	Oxysterol-binding protein 1	1186.12	1246.6	964.269		582.796	
P22061	P22061	PIMT_HUMAN	PCMT1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	41983	47709.5	33856.3	25062	33272.4	40237
P22087	P22087	FBRL_HUMAN	FBL	rRNA 2'-O-methyltransferase fibrillarin	1713.79	1972.61	2101.77	2054.53	3175.65	5352.72
P22102	P22102	PUR2_HUMAN	GART	Trifunctional purine biosynthetic protein adenosine-3	272.874	983.081	893.063	276.346	476.392	853.785
